Employee_ID,Employee_Name,Age,Gender,Department,Job_Role,Education_Level,Marital_Status,Years_at_Company,Monthly_Income,Performance_Rating,Job_Satisfaction,WorkLife_Balance,Training_Hours,Promotion_Status,Overtime_Status,Attrition_Status,Attrition_Reason,Manager_Rating,Employee_Engagement,Attrition_Flag,Retention_Flag
E001,Employee_1,48,Male,IT,Analyst,Bachelor,Single,19,30287,4,1,6,80,Yes,No,No,Salary,4,2,0,1
E002,Employee_2,22,Male,Operations,Specialist,MBA,Single,9,42371,1,2,6,72,No,Yes,No,Salary,4,5,0,1
E003,Employee_3,23,Male,Sales,Executive,Bachelor,Married,6,123173,2,7,2,33,Yes,No,No,Management,5,5,0,1
E004,Employee_4,29,Female,Operations,Executive,Master,Single,6,123244,5,9,8,16,No,No,No,Salary,4,2,0,1
E005,Employee_5,32,Male,HR,Executive,Master,Married,5,51372,4,4,4,52,No,Yes,Yes,Salary,1,5,1,0
E006,Employee_6,60,Female,Marketing,Manager,Master,Single,13,25548,2,6,1,57,No,Yes,Yes,Career Growth,4,2,1,0
E007,Employee_7,29,Female,Finance,Analyst,Bachelor,Single,13,125070,1,5,3,30,No,No,Yes,Relocation,4,6,1,0
E008,Employee_8,51,Female,Operations,Associate,Master,Married,15,118730,3,7,5,18,Yes,Yes,No,Salary,3,2,0,1
E009,Employee_9,40,Male,Finance,Analyst,MBA,Married,16,144502,4,4,7,4,No,No,No,Salary,2,2,0,1
E010,Employee_10,26,Female,IT,Specialist,Bachelor,Single,17,85776,4,1,9,33,Yes,No,No,Salary,2,9,0,1
E011,Employee_11,36,Female,IT,Manager,MBA,Single,5,145467,1,10,1,71,Yes,Yes,Yes,Salary,3,8,1,0
E012,Employee_12,41,Male,Marketing,Associate,Bachelor,Single,10,107283,5,5,4,36,Yes,No,No,Salary,4,6,0,1
E013,Employee_13,44,Male,Operations,Analyst,Master,Married,3,42754,2,8,2,69,No,Yes,No,Relocation,5,10,0,1
E014,Employee_14,38,Female,HR,Specialist,Bachelor,Married,13,28457,3,8,1,59,No,No,Yes,None,5,5,1,0
E015,Employee_15,35,Male,Finance,Executive,Master,Married,19,65279,2,4,9,12,No,No,Yes,Workload,5,1,1,0
E016,Employee_16,56,Male,HR,Executive,Master,Single,15,52280,3,7,1,53,No,Yes,Yes,None,4,3,1,0
E017,Employee_17,22,Female,IT,Manager,Bachelor,Single,14,125578,1,8,5,15,Yes,No,No,Management,3,7,0,1
E018,Employee_18,45,Male,Finance,Analyst,MBA,Single,20,62296,1,10,5,38,Yes,No,No,Salary,5,1,0,1
E019,Employee_19,60,Female,Marketing,Manager,Bachelor,Married,4,142647,2,5,4,9,No,Yes,No,Workload,5,5,0,1
